Date,KLSE_Open,KLSE_High,KLSE_Low,KLSE_Close,KLSE_AdjClose,KLSE_Volume
"Jan 16, 2015","1,740.19","1,746.24","1,732.35","1,743.57","1,743.57","15,32,11,200"
"Jan 15, 2015","1,747.54","1,750.94","1,738.24","1,745.00","1,745.00","18,29,36,200"
"Jan 14, 2015","1,742.66","1,744.71","1,736.77","1,742.01","1,742.01","18,20,04,300"
"Jan 13, 2015","1,726.54","1,750.16","1,725.98","1,748.90","1,748.90","14,75,53,800"
"Jan 12, 2015","1,730.10","1,735.08","1,718.76","1,735.08","1,735.08","9,59,01,300"
"Jan 09, 2015","1,734.61","1,738.54","1,725.81","1,732.44","1,732.44","12,62,53,700"
"Jan 08, 2015","1,714.40","1,730.18","1,714.02","1,728.06","1,728.06","12,10,85,200"
"Jan 07, 2015","1,714.70","1,717.17","1,706.18","1,709.18","1,709.18","17,10,15,600"
"Jan 06, 2015","1,730.94","1,730.94","1,708.78","1,716.58","1,716.58","14,60,55,300"
"Jan 05, 2015","1,758.43","1,759.15","1,734.51","1,736.62","1,736.62","9,81,41,200"
"Jan 02, 2015","1,757.15","1,757.96","1,741.45","1,752.77","1,752.77","6,35,84,500"
"Dec 31, 2014","1,759.76","1,768.85","1,755.93","1,761.25","1,761.25","14,08,38,800"
"Dec 30, 2014","1,765.80","1,770.52","1,753.95","1,766.83","1,766.83","12,05,81,600"
"Dec 29, 2014","1,757.65","1,770.06","1,753.97","1,768.41","1,768.41","7,70,18,700"
"Dec 26, 2014","1,747.25","1,765.61","1,747.20","1,764.44","1,764.44","5,69,35,200"
"Dec 24, 2014","1,740.45","1,751.78","1,732.15","1,749.74","1,749.74","7,35,11,300"
"Dec 23, 2014","1,745.42","1,754.27","1,744.96","1,749.05","1,749.05","12,36,73,500"
"Dec 22, 2014","1,723.87","1,746.39","1,722.67","1,744.05","1,744.05","11,33,08,200"
"Dec 19, 2014","1,706.47","1,720.78","1,706.47","1,715.99","1,715.99","17,58,07,500"
"Dec 18, 2014","1,688.03","1,704.85","1,688.00","1,699.95","1,699.95","16,20,22,600"
"Dec 17, 2014","1,673.04","1,691.99","1,671.82","1,681.90","1,681.90","17,71,02,000"
"Dec 16, 2014","1,688.74","1,693.91","1,673.94","1,673.94","1,673.94","17,94,38,500"
"Dec 15, 2014","1,715.87","1,715.87","1,695.60","1,697.31","1,697.31","18,22,23,600"
"Dec 12, 2014","1,745.04","1,748.76","1,732.99","1,732.99","1,732.99","15,98,86,000"
"Dec 11, 2014","1,748.17","1,757.19","1,742.35","1,744.57","1,744.57","11,68,87,300"
"Dec 10, 2014","1,732.76","1,765.52","1,732.76","1,765.52","1,765.52","13,77,24,600"
"Dec 09, 2014","1,741.17","1,741.31","1,730.77","1,738.10","1,738.10","12,98,96,000"
"Dec 08, 2014","1,748.38","1,750.42","1,735.92","1,740.84","1,740.84","11,39,45,200"
"Dec 05, 2014","1,743.40","1,755.94","1,740.56","1,749.37","1,749.37","12,95,31,600"
"Dec 04, 2014","1,760.25","1,768.81","1,743.62","1,745.69","1,745.69","16,81,15,900"
"Dec 03, 2014","1,788.15","1,789.04","1,758.15","1,758.15","1,758.15","14,45,44,200"
"Dec 02, 2014","1,779.54","1,789.42","1,763.55","1,785.97","1,785.97","14,86,43,200"
"Dec 01, 2014","1,821.52","1,821.52","1,768.21","1,778.27","1,778.27","22,98,20,300"
"Nov 28, 2014","1,820.57","1,827.16","1,815.31","1,820.89","1,820.89","15,15,17,700"
